title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип аренды,Тип здания,Парковка,lat,lon,Отдельный вход,Высота потолков,Мощность электросети,Отопление,Минимальный срок аренды,Удалённость от дороги,Аренда части,Планировка,Класс здания,Количество парковочных мест,Арендные каникулы,Платежи включены
Свободного назначения,180000,"ул. Александра Курынова, 5к3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7253455409?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,24 марта 14:20,с улицы,89.4 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная",55.79949977374954,49.23935621316436,есть,3.8 м,"20 кВт, можно увеличить",,11 мес.,,,,,,есть,
"Торговая площадь, 78.6 м²",1500,"ул. Рауиса Гареева, 90к1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_78.6_m_7239361062?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,24 марта 13:53,с улицы,78.6 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная",55.721052,49.1667,есть,3.2 м,10 кВт,центральное,11 мес.,первая линия,,,,,,
Сдаю склад 75 кв на Короленко,30000,"ул. Короленко, 120Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdayu_sklad_75_kv_na_korolenko_7256687856?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,24 марта 10:33,с улицы,75 м²,1,чистовая,прямая,другой,на улице,55.846674,49.097125,есть,4 м,10 кВт,,,,,,B,,,
Торговое помещение 60м2 и 35м2,52500,"ул. Державина, 19с. Сокуры",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_60m2_i_35m2_7239239387?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,24 марта 09:10,с улицы,35 м²,1,чистовая,прямая,торговый центр,на улице,55.618044,49.400109,,4 м,,,,,,,,,,
"Торговая площадь, 42 м²",40000,"ул. Энгельса, 113Чистополь",https://www.avito.ru/chistopol/kommercheskaya_nedvizhimost/torgovaya_ploschad_42_m_7260774134?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,23 марта 16:17,с улицы,42 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.366394,50.612422,есть,,10 кВт,центральное,11 мес.,первая линия,,,,,,
Торговая площадь,70000,"ул. Петра Гаврилова, 24д. Царёво",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7249151333?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,22 марта 14:45,с улицы,35.4 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.805477,49.44366,есть,4 м,,,11 мес.,,,,,20,есть,
Свободного назначения,15000,"ул. Энгельса, 94Чистополь",https://www.avito.ru/chistopol/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7233357137?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,22 марта 10:20,с улицы,12 м²,1,чистовая,прямая,жилой дом,на улице,55.36657987889819,50.61093681892437,есть,3 м,,,,,возможна,,,,есть,
"Торговая площадь, 30 м²",15000,106СНТ Гидромеханизатор,https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_30_m_7229730355?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,21 марта 17:17,с улицы,30 м²,1,чистовая,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.82439,48.77976,есть,2.4 м,10 кВт,,5 мес.,,возможна,,,5,есть,
"Первая линия, Амирхана,97",1500,"ул. Фатыха Амирхана, 97Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_amirhana97_7250621870?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,21 марта 14:56,с улицы,21 м²,1,чистовая,прямая,другой,на улице,55.84044647,49.13218689,,3 м,,,11 мес.,,,,,,есть,
"Доступ 24/7, отдельный вход; Лукина,11А",500,"ул. Лукина, 11АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/dostup_247_otdelnyy_vhod_lukina11a_7250718185?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,21 марта 13:28,с улицы,80 м²,1,без отделки,прямая,другой,на улице,55.86091995,49.08923721,есть,2.8 м,,,11 мес.,,,,,,есть,
"Торговая площадь, 148 м²",1900,"пр-т Хасана Туфана, 26Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_148_m_7231987753?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,21 марта 05:19,с улицы,148 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная",55.74468231,52.39419556,есть,3.8 м,"57 кВт, можно увеличить",,36 мес.,,,,,40,есть,
"Свободного назначения 50,2 кв.м",1100,"ул. Шамиля Усманова, 10АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_502_kv.m_7232354846?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,20 марта 18:11,с улицы,50.2 м²,1,офисная,прямая,другой,на улице,55.83018875,49.07553864,,4.5 м,35 кВт,,,,,,,2,есть,
"Свободного назначения, 36 м²",85000,"Октябрьская ул., 58с. Песчаные Ковали",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_36_m_7251386719?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,20 марта 15:22,с улицы,36 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.625664,49.140011,есть,3.5 м,"8 кВт, можно увеличить",,11 мес.,,,,,74,есть,
"Торговая площадь, 30 м²",45000,"пр-т Сююмбике, 21Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_30_m_7235007050?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,20 марта 14:21,с улицы,30 м²,1,офисная,субаренда,торговый центр,"на улице, бесплатная",55.73619461,52.39012527,,3 м,,,,,,,,100,есть,
Отдельно стоящее здание 105 м2,210000,"ул. Мамадышский Тракт, 35Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/otdelno_stoyaschee_zdanie_105_m2_7239739779?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,20 марта 10:22,с улицы,105 м²,1,чистовая,прямая,торговый центр,на улице,55.80186,49.260556,,3 м,,,,,,,,,,
Сдам помещение 25 кв с отдельным входом,53900,"ул. Архитектора Гайнутдинова, 26к6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_pomeschenie_25_kv_s_otdelnym_vhodom_7256447895?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,19 марта 20:03,с улицы,25 м²,1,чистовая,прямая,жилой дом,на улице,55.804106,49.226339,,2.6 м,7 кВт,,,,,,,,,
"Торговая площадь, 75.6 м²",90000,"ул. Серп и Молот, 15Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_75.6_m_7235243413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,19 марта 15:00,с улицы,75.6 м²,1,чистовая,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.799603,49.068119,есть,3 м,15 кВт,автономное,11 мес.,первая линия,,,,5,,
"Офис, 136.6 м²",80000,"ул. Гладилова, 52А/1БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_136.6_m_7246460612?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,19 марта 14:52,,136.6 м²,1,офисная,прямая,другой,"на улице, бесплатная",55.811957240942796,49.06733461457023,,2.5 м,,,12 мес.,,,кабинетная,C,,есть,
Отдельностоящее помещение 80м²,120000,"ул. Побежимова, 28Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/otdelnostoyaschee_pomeschenie_80m_7239808511?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,19 марта 12:47,с улицы,80 м²,1,чистовая,прямая,другой,"на улице, бесплатная",55.85903393714139,49.08611402003117,есть,3 м,35 кВт,,11 мес.,,,,,,есть,эксплуатационные
"Торговая площадь 1 этаж, 54 кв.м",85000,"Петербургская ул., 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_1_etazh_54_kv.m_7245519854?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,19 марта 06:23,с улицы,54 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная",55.78532028,49.12655258,,4 м,5 кВт,,11 мес.,,,,,,есть,коммунальные
Офис с отдельной входной группой,190000,"ул. Мансура Хасанова, 15Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_s_otdelnoy_vhodnoy_gruppoy_7239851802?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,18 марта 23:20,,95 м²,1,чистовая,субаренда,жилой дом,на улице,55.778892,49.184657,,4 м,,,,,,кабинетная,,,,
Шикарное офисное помещение,236000,"ул. Мансура Хасанова, 15Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/shikarnoe_ofisnoe_pomeschenie_7239858532?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,18 марта 23:17,,118 м²,1,чистовая,субаренда,жилой дом,на улице,55.778892,49.184657,,4 м,,,,,,кабинетная,,,,
Свободного назначения,600,"Старосармановская ул., 19/6Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7243669391?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,18 марта 19:31,с улицы,129 м²,1,чистовая,прямая,другой,"на улице, бесплатная",55.649793809881416,52.34755800157771,есть,5 м,15 кВт,,11 мес.,,,,,10,есть,
Сдается помещение в топовой локации на Чистопольской,367500,"Чистопольская ул., 20БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdaetsya_pomeschenie_v_topovoy_lokatsii_na_chistopolskoy_7256832226?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,18 марта 13:33,с улицы,147 м²,1,чистовая,прямая,другой,на улице,55.817355,49.111777,есть,3.4 м,25 кВт,,,,,,,,,
Помещение свободного назначения 90кв.м. на трафике,197100,"ул. Достоевского, 74АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_90kv.m._na_trafike_7259693093?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,18 марта 11:55,с улицы,87.6 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.78712463,49.1581192,есть,3.1 м,100 кВт,,11 мес.,,,,,5,есть,
Торговая площадь,500,"Казанский пр-т, 224/11Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_7237841081?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,18 марта 11:40,с улицы,100 м²,1,чистовая,прямая,административное здание,"на улице, бесплатная",55.68857193,52.36475754,есть,4 м,50 кВт,,11 мес.,,,,,10,есть,
Сдам с ремонтом и витражным окном,111000,"ул. Адоратского, 44к1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_s_remontom_i_vitrazhnym_oknom_7229544327?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,18 марта 00:12,с улицы,58 м²,1,офисная,прямая,административное здание,в здании,55.842181,49.148051,,,,,,,,,,,есть,
"Свободного назначения, 89 м²",180000,"ул. Николаева, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_89_m_7248470165?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 18:30,с улицы,89 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная",55.78510666,49.12118149,есть,2.5 м,220 кВт,,,,,,,5,есть,
"Нижнекамск, ул. Кайманова, д.9, 24 м²",15000,"ул. Кайманова, 9Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/nizhnekamsk_ul._kaymanova_d.9_24_m_7248103411?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 17:39,с улицы,24 м²,1,чистовая,субаренда,торговый центр,на улице,55.655889,51.844578,,,,центральное,11 мес.,первая линия,,,,,,
"Торговая площадь, 22.52 м²",92000,"пр-т Ямашева, 93Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_22.52_m_7260137485?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 15:30,с улицы,22.52 м²,1,чистовая,субаренда,торговый центр,"на улице, бесплатная",55.826028,49.148805,,,"10 кВт, можно увеличить",центральное,11 мес.,первая линия,,,,,есть,"коммунальные, эксплуатационные"
"Торговая площадь, 51.06 м²",190000,"пр-т Ямашева, 93Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_51.06_m_7260229152?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 15:22,с улицы,51.06 м²,1,чистовая,субаренда,торговый центр,"на улице, бесплатная",55.826028,49.148805,,,10 кВт,центральное,11 мес.,первая линия,,,,,есть,"коммунальные, эксплуатационные"
"Свободного назначения, 86 м²",350,"ул. Агадуллина, 2/3Лениногорск",https://www.avito.ru/leninogorsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_86_m_7245668772?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 13:28,с улицы,86 м²,1,офисная,прямая,административное здание,"на улице, бесплатная, подходит для грузового транспорта",54.604916,52.46623,есть,3 м,,центральное,11 мес.,вторая линия и дальше,,,,20,,"коммунальные, эксплуатационные"
"Производственное-складское помещение Химград 90 м², ул.Восстания, д.100",54000,"ул. Восстания, 100к5030Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/proizvodstvennoe-skladskoe_pomeschenie_himgrad_90_m_ul.vosstaniya_d.100_7233650757?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 12:33,с улицы,90 м²,1,без отделки,прямая,другой,на улице,55.832909,49.041008,есть,,,,,,,,,,,
Торговая площадь 12 кв.м,30000,"пр-т Ямашева, 17Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_12_kv.m_7256524266?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 11:03,с улицы,12 м²,1,офисная,прямая,административное здание,на улице,55.826529,49.099461,,2.8 м,,,,вторая линия и дальше,,,,,,
Склад 129 м2,600,"Старосармановская ул., 19/6Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sklad_129_m2_7256606734?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 10:14,с улицы,129 м²,1,чистовая,прямая,другой,"на улице, бесплатная",55.649788,52.34758,есть,5 м,10 кВт,,6 мес.,,,,,,есть,
"Мини офис, 10.5 м²",10000,"ул. Восстания, 18БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/mini_ofis_10.5_m_7260451095?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,17 марта 09:01,,10.5 м²,1,офисная,прямая,бизнес-центр,на улице,55.836373,49.092499,,,,,,,,"кабинетная, открытая",,,,
Офис в центре Казани с ремонтом,1500,"ул. Островского, 34Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_v_tsentre_kazani_s_remontom_7226060237?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,16 марта 22:05,с улицы,33 м²,1,чистовая,прямая,административное здание,на улице,55.786404,49.11944,,2.7 м,15 кВт,центральное,11 мес.,первая линия,,,,,,
"Торговая площадь, первая линия 40-195 кв.м",2000,"ул. Голубятникова, 2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_pervaya_liniya_40-195_kv.m_7245376491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,16 марта 12:56,с улицы,40 м²,1,чистовая,прямая,другой,"на улице, бесплатная",55.83674622,49.10485077,есть,3.5 м,"80 кВт, можно увеличить",,11 мес.,,,,,50,есть,
Свободного назначения,2500,"ул. Гоголя, 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7254661592?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,15 марта 19:16,с улицы,73 м²,1,чистовая,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.79464893241584,49.13246682703725,есть,3.7 м,"5 кВт, можно увеличить",,11 мес.,,,,,30,есть,
"Свободного назначения, 110 м²",1400,"ул. Бурхана Шахиди, 3с. Сокуры, коттеджный пос. Новые Сокуры- 3",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_110_m_7204913770?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,15 марта 09:45,с улицы,110 м²,1,чистовая,прямая,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.60788345,49.3744278,есть,4 м,"150 кВт, можно увеличить",,11 мес.,,возможна,,,50,есть,
"Первая линия, Советская 2/14",1000,"Советский район, посёлок Дербышки, Советская ул., 2/14Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_sovetskaya_214_7219035403?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,14 марта 14:20,с улицы,91.2 м²,1,чистовая,прямая,другой,на улице,55.86758041,49.2333374,,3 м,,,11 мес.,,,,,,есть,
Свободного назначения,890,"ул. Державина, 17с. Сокуры",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7211718210?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,14 марта 10:30,с улицы,33 м²,1,офисная,субаренда,бизнес-центр,на улице,55.61829027881824,49.40045136381974,,3 м,,,1 мес.,,,,,,есть,
Сдам торговый павильон 15 кв на 1 линии. Сухофрукты уже есть,40000,"ул. Александра Курынова, 6к1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_torgovyy_pavilon_15_kv_na_1_linii._suhofrukty_uzhe_est_7224155821?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,14 марта 10:18,с улицы,15 м²,1,чистовая,прямая,другой,на улице,55.800919,49.241673,,2.5 м,10 кВт,,,,,,,,,
"Свободного назначения, 150 м²",315000,"пр-т Альберта Камалеева, 28/9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_150_m_7197347029?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,14 марта 00:09,с улицы,150 м²,1,офисная,прямая,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.78631973,49.18987656,есть,4 м,,,12 мес.,,,,,,есть,
"Склад-производство, Химград, 143.91 м²",1000,"ул. Восстания, 100к1090Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad-proizvodstvo_himgrad_143.91_m_7204356346?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,13 марта 18:09,с улицы,143.91 м²,1,чистовая,прямая,другой,"на улице, бесплатная, подходит для грузового транспорта",55.83666844451018,49.03632870516702,есть,4 м,"5 кВт, можно увеличить",центральное,,,,,,,,
Свободного назначения,2500,"пр. Яраткан, 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7226921523?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLYUt2R3ZpSUZveGVRU3RJIjt9aSHekT8AAAA,13 марта 15:42,с улицы,47 м²,1,без отделки,прямая,административное здание,"на улице, бесплатная, подходит для грузового транспорта",55.76334,49.2009964,есть,3.6 м,16 кВт,,11 мес.,,,,,10,есть,
