title,price,address,item_url,date,Вход,Отдельный вход,Общая площадь,Этаж,Высота потолков,Отделка,Мощность электросети,Отопление,Тип аренды,Минимальный срок аренды,Тип здания,Удалённость от дороги,Парковка,lat,lon,Арендные каникулы,Количество парковочных мест,Платежи включены,Аренда части,Планировка,Класс здания
"Свободного назначения, 80м²",56000,"ул. Анвара Ягофарова, 30ББугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_80m_7345074994?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,7 дней назад,с улицы,есть,80 м²,1,3 м,чистовая,"15 кВт, можно увеличить",автономное,прямая,12 мес.,другой,первая линия,"на улице, бесплатная, подходит для грузового транспорта",54.52355,52.795768,есть,8,,,,
Торговый павильон пос.Новониколаевский,50000,"Центральная ул., 26пос. Новониколаевский",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovyy_pavilon_pos.novonikolaevskiy_7303335709?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,7 дней назад,с улицы,есть,28 м²,1,,чистовая,,,прямая,,другой,,"на улице, бесплатная",55.895933,48.963178,есть,,,,,
Торговая площадь,1200,"ул. Ш. Марджани, 17с. Большая Атня",https://www.avito.ru/bolshaya_atnya/kommercheskaya_nedvizhimost/torgovaya_ploschad_7344248698?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,7 дней назад,с улицы,,93 м²,1,,чистовая,,,прямая,,другой,,на улице,56.24836341873381,49.43687166115879,есть,,,,,
Теплый склад 22кв.м с отдельным входом,12400,"пр-т Строителей, 6АНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/teplyy_sklad_22kv.m_s_otdelnym_vhodom_7331849100?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,7 дней назад,со двора,есть,22.6 м²,1,2.7 м,чистовая,5 кВт,,прямая,1 мес.,административное здание,,"на улице, бесплатная",55.62729645,51.81946182,есть,40,"коммунальные, эксплуатационные",,,
Теплые и холодные склады в центре от 85м²,600,"Портовая ул., 27Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/teplye_i_holodnye_sklady_v_tsentre_ot_85m_7353410351?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,7 дней назад,со двора,,85 м²,1,,чистовая,,,прямая,,другой,,на улице,55.760256,49.081171,,,,,,
"Первая линия, любая площадь, Дементьева,72Б",1500,"ул. Дементьева, 72БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_lyubaya_ploschad_dementeva72b_7346997626?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,7 дней назад,с улицы,,50 м²,1,5 м,чистовая,,,прямая,11 мес.,другой,,на улице,55.86252975,49.10920715,,,,,,
Свободного назначения,50000,"Центральная ул., 1Бс. Кощаково",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7337736726?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,есть,120 м²,1,5 м,без отделки,380 кВт,,прямая,1 мес.,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.79845428,49.4084549,есть,,"коммунальные, эксплуатационные",,,
Офис,1200,"ул. Амирхана Еники, 10Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/ofis_7327498750?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,,,82 м²,1,4 м,чистовая,,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.78248596,49.15362167,есть,20,,возможна,кабинетная,
"Торговая площадь, 43.5 м²",40000,"Детский пр., 8Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_43.5_m_7329968919?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,есть,43.5 м²,1,4 м,чистовая,220 кВт,центральное,прямая,11 мес.,жилой дом,вторая линия и дальше,"на улице, бесплатная",55.678352,49.199794,,1,"коммунальные, эксплуатационные",,,
Торговая площадь,950,"пр-т Мира, 84ВНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7345184210?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,есть,30 м²,1,3 м,чистовая,45 кВт,,прямая,,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.639984484813354,51.79253685896964,есть,,,возможна,,
"Сдам помещение свободного назначения, 122 м²",1100,"ул. Академика Королёва, 2/1Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_122_m_7337240263?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,есть,122 м²,1,4 м,офисная,,,прямая,11 мес.,торговый центр,,"на улице, бесплатная",55.713583,52.397724,есть,,,,,
"Свободного назначения, 51.3 м²",55000,"ул. Шуртыгина, 32/22Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_51.3_m_7349433980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,есть,51.3 м²,1,3 м,офисная,15 кВт,,прямая,11 мес.,жилой дом,,на улице,55.787715,49.174623,есть,,коммунальные,,,
Свободного назначения,1500,"Приволжский район, жилой комплекс Станция Спортивная, 2.2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7337923209?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,,67 м²,1,,без отделки,,,прямая,11 мес.,жилой дом,,на улице,55.67878860318195,49.20337639488717,есть,,,,,
Торговая площадь 90,155000,"Даурская ул., 44ВКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_90_7345709363?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,,90 м²,1,3.5 м,чистовая,15 кВт,,прямая,,жилой дом,,на улице,55.76684189,49.18641663,есть,,,,,
"Свободного назначения, 134.2 м²",1600,"Советский район, мкр-н Азино-1, ул. Закиева, 3АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_134.2_m_7328437022?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,есть,134.2 м²,1,4.3 м,чистовая,"20 кВт, можно увеличить",автономное,прямая,11 мес.,административное здание,первая линия,"на улице, бесплатная",55.776689,49.222539,,,,,,
Торговая площадь 134,2500,"ул. Александра Курынова, 5к2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_134_7345584311?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUaEZCenRxRm5Tb09YUlY1Ijt9tGtraT8AAAA,1 неделю назад,с улицы,,134 м²,1,4.5 м,без отделки,15 кВт,,прямая,,жилой дом,,на улице,55.79935837,49.24076462,есть,,,,,
"Свободного назначения71м2,офис,торговая площадь",120000,"ул. Липатова, 4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya71m2ofistorgovaya_ploschad_7340860349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,71 м²,1,3.4 м,офисная,15 кВт,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.872526,49.224462,есть,15,,,,
"Торговая площадь, Сахарова 22А",45000,"ул. Академика Сахарова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_saharova_22a_7341905721?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,15 м²,1,,чистовая,,,прямая,12 мес.,другой,,"на улице, бесплатная",55.78281021,49.22410965,есть,,,,,
"Свободного назначения, 87.1 м²",200000,"ул. Горьковское Шоссе, 2АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_87.1_m_7334783451?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,87.1 м²,1,3.5 м,офисная,"49 кВт, можно увеличить",автономное,прямая,2 мес.,административное здание,первая линия,"на улице, бесплатная",55.825345,49.04169,,10,,,,
"Свободного назначения, 15 м²",5000,"Дорожный пер., 7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_15_m_7347773523?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,со двора,есть,15 м²,1,2.6 м,чистовая,0 кВт,нет,прямая,2 мес.,другой,вторая линия и дальше,"на улице, бесплатная, подходит для грузового транспорта",55.802361,49.214966,,1,"коммунальные, эксплуатационные",,,
Свободного назначения,110000,"Вахитовский район, ул. Калинина, 60Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7340282166?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,80 м²,1,3 м,чистовая,,,прямая,6 мес.,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.78237915,49.14713287,есть,2,"коммунальные, эксплуатационные",,,
"Свободного назначения, 51.4 м²",75000,"ул. Чехова, 29Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_51.4_m_7355811547?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,51.4 м²,1,2.7 м,чистовая,,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",54.906585,52.305557,есть,,,,,
Торговая площадь,15000,"ул. Ленина, 9Азнакаево",https://www.avito.ru/aznakaevo/kommercheskaya_nedvizhimost/torgovaya_ploschad_7333939351?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,16 м²,1,3 м,офисная,,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",54.85891724,53.08082962,есть,,,,,
"Нижнекамск, проспект Вахитова, 47, 48 м²",55000,"пр-т Вахитова, 47Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/nizhnekamsk_prospekt_vahitova_47_48_m_7344995248?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,48 м²,1,,без отделки,,центральное,субаренда,11 мес.,торговый центр,,на улице,55.651643,51.821033,,,,,,
"Помещение 101.5 м² под торговлю,офис, бьюти коворк",162400,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_101.5_m_pod_torgovlyuofis_byuti_kovork_7344959219?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,101.5 м²,1,2.8 м,офисная,10 кВт,,прямая,11 мес.,жилой дом,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,,,,,,
"Казань Братьев Касимовых 22/7, 3 м²",11000,"ул. Братьев Касимовых, 22/7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kazan_bratev_kasimovyh_227_3_m_7344494435?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,3 м²,1,3 м,чистовая,"1 кВт, можно увеличить",,прямая,11 мес.,торговый центр,первая линия,"на улице, бесплатная",55.756143,49.190487,,,,,,
Свободного назначения,93000,"ул. Сибирский Тракт, 24/7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7304560712?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,46.5 м²,1,2.5 м,офисная,220 кВт,,прямая,11 мес.,жилой дом,,нет,55.8126297,49.18147659,есть,,,,,
"Казань, Советский район, посёлок Дербышки, улица М",16000,"Советский район, посёлок Дербышки, ул. Мира, 59Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kazan_sovetskiy_rayon_poselok_derbyshki_ulitsa_m_7344787289?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,29 м²,1,3 м,чистовая,"5 кВт, можно увеличить",,прямая,11 мес.,торговый центр,первая линия,"на улице, бесплатная",55.859776,49.215739,,,,,,
"Сдаю помещение в центре, Castura Town",4500,"ул. Островского, 116Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdayu_pomeschenie_v_tsentre_castura_town_7314690889?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,87.8 м²,1,4.2 м,офисная,,,прямая,,жилой дом,,нет,55.776436,49.139544,,,,,,
Аренда помещения под производство или теплый склад,41020,"2-я Гаражная ул., 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_pomescheniya_pod_proizvodstvo_ili_teplyy_sklad_7355196406?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,со двора,есть,70 м²,1,,чистовая,50 кВт,центральное,прямая,,административное здание,,"на улице, бесплатная",55.745078,49.107465,,,,,,
"Торговая площадь, 100 м²",200000,"Автозаводский пр-т, 62Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_100_m_7303892736?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,100 м²,1,3.2 м,чистовая,"15 кВт, можно увеличить",центральное,прямая,12 мес.,торговый центр,первая линия,на улице,55.744419,52.453609,есть,,,возможна,,
Торговая площадь,40000,"пр-т Альберта Камалеева, 32Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7327362349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,77 м²,1,,чистовая,,,субаренда,,жилой дом,,на улице,55.78450012,49.19394684,есть,,,возможна,,
"Свободного назначения, 132.9 м²",3750,"ул. Алексея Козина, 8Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_132.9_m_7355710793?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,132.9 м²,1,6 м,без отделки,"10 кВт, можно увеличить",,прямая,11 мес.,жилой дом,,на улице,55.81359239763658,49.140379664031954,есть,,,,,
"Аренда в Барс-2, 1-я линия",1800,"ул. Менделеева, 33АНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/arenda_v_bars-2_1-ya_liniya_7353379263?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,90 м²,1,,чистовая,,,прямая,,торговый центр,,на улице,55.655178,51.825516,,,,,,
"Помещение, 36.5 м², д. Куюки, Олимпийская 10",70000,"Олимпийская ул., 8д. Куюки",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_36.5_m_d._kuyuki_olimpiyskaya_10_7327872752?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,36.5 м²,1,,офисная,,,субаренда,,другой,первая линия,"на улице, бесплатная",55.722568,49.328891,есть,,эксплуатационные,,,
"Свободного назначения, 110 м²",100000,"ул. Егорова, 1с. Высокая Гора",https://www.avito.ru/vysokaya_gora/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_110_m_7341009359?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,110 м²,1,,без отделки,,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.900436,49.326762,,,,,,
"Торговая площадь, 20 м²",20000,"ул. Гагарина, 89Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_20_m_7338427555?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,20 м²,1,3.8 м,офисная,15 кВт,центральное,прямая,12 мес.,жилой дом,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.836969,49.083426,,7,,,,
Тёплый склад или помещение под произовдство 115 м²,700,"ул. Восстания, 100к6171Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/teplyy_sklad_ili_pomeschenie_pod_proizovdstvo_115_m_7349206534?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,115 м²,1,8 м,чистовая,25 кВт,,прямая,,другой,,"на улице, бесплатная",55.837217,49.05265,есть,1,эксплуатационные,,,
"Торговая площадь, 23 м²",29000,"ул. Сибирский Тракт, 21Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_23_m_7338877072?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,23 м²,1,3 м,офисная,15 кВт,центральное,прямая,12 мес.,жилой дом,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.809768,49.18172,,7,,,,
Торговое помещение на первой линии,25000,"ул. Декабристов, 164Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_na_pervoy_linii_7353586680?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,10.3 м²,1,,чистовая,,,прямая,,жилой дом,,на улице,55.836863,49.081315,,,,,,
"Помещения, 41.5 м², 52,6 м², с. Коноваловка",63500,"Зелёная ул., 22с. Коноваловка",https://www.avito.ru/menzelinsk/kommercheskaya_nedvizhimost/pomescheniya_41.5_m_526_m_s._konovalovka_7327961356?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,41.5 м²,1,,офисная,,,субаренда,,другой,первая линия,"на улице, бесплатная",55.687081,52.957042,,,эксплуатационные,,,
Помещение 80 м²,80000,"ул. Ленина, 31Азнакаево",https://www.avito.ru/aznakaevo/kommercheskaya_nedvizhimost/pomeschenie_80_m_7303568454?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,80 м²,1,3 м,офисная,15 кВт,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",54.852397,53.078342,есть,5,,,,
Помещение 113 кв.м на Ямашева парковка,200000,"пр-т Ямашева, 103АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_113_kv.m_na_yamasheva_parkovka_7314934643?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,113 м²,1,3.5 м,офисная,15 кВт,,прямая,,жилой дом,,на улице,55.824754,49.154537,,,,,,
Помещение с отдельным входом,35000,"пр-т Строителей, 32БЗеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/pomeschenie_s_otdelnym_vhodom_7328195222?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,25 м²,1,,чистовая,,,прямая,11 мес.,жилой дом,,на улице,55.86093521,48.57442093,есть,,,,,
Торговая площадь,2000,"ул. 30 лет Победы, 21Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7326575357?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,40 м²,1,4 м,чистовая,"10 кВт, можно увеличить",,прямая,11 мес.,торговый центр,,"на улице, бесплатная, подходит для грузового транспорта",55.63179224679008,51.789672484859786,есть,,,,,
Склад,100000,"Кооперативная ул., 11Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/sklad_7300616950?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,100 м²,1,3 м,без отделки,,,прямая,12 мес.,другой,,,55.84098434,48.56177521,есть,,,,,
"Сдам торговое помещение, 47 м²",2000,"Краснооктябрьская ул., 68Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sdam_torgovoe_pomeschenie_47_m_7353043156?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,47 м²,1,,чистовая,,,прямая,,другой,,на улице,55.812995,49.190829,,,,,,
