title,price,address,item_url,date,Вход,Отдельный вход,Общая площадь,Этаж,Высота потолков,Отделка,Мощность электросети,Отопление,Тип аренды,Минимальный срок аренды,Тип здания,Удалённость от дороги,Парковка,lat,lon,Арендные каникулы,Количество парковочных мест,Платежи включены,Аренда части,Планировка,Класс здания,city,street,total_price,price_per_meter,is_per_meter_price
"Свободного назначения71м2,офис,торговая площадь",120000,"ул. Липатова, 4Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya71m2ofistorgovaya_ploschad_7340860349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,71.0,1.0,3.4 м,офисная,15 кВт,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.872526,49.224462,есть,15.0,,,,,Казань,ул. Липатова,120000.0,1690.1408450704225,False
"Торговая площадь, Сахарова 22А",45000,"ул. Академика Сахарова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_saharova_22a_7341905721?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,15.0,1.0,,чистовая,,,прямая,12 мес.,другой,,"на улице, бесплатная",55.78281021,49.22410965,есть,,,,,,Казань,ул. Академика Сахарова,45000.0,3000.0,False
"Свободного назначения, 87.1 м²",200000,"ул. Горьковское Шоссе, 2АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_87.1_m_7334783451?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,87.1,1.0,3.5 м,офисная,"49 кВт, можно увеличить",автономное,прямая,2 мес.,административное здание,первая линия,"на улице, бесплатная",55.825345,49.04169,,10.0,,,,,Казань,ул. Горьковское Шоссе,200000.0,2296.211251435132,False
"Свободного назначения, 15 м²",5000,"Дорожный пер., 7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_15_m_7347773523?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,со двора,есть,15.0,1.0,2.6 м,чистовая,0 кВт,нет,прямая,2 мес.,другой,вторая линия и дальше,"на улице, бесплатная, подходит для грузового транспорта",55.802361,49.214966,,1.0,"коммунальные, эксплуатационные",,,,Казань,Дорожный пер.,5000.0,333.3333333333333,False
Свободного назначения,110000,"Вахитовский район, ул. Калинина, 60Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7340282166?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,80.0,1.0,3 м,чистовая,,,прямая,6 мес.,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",55.78237915,49.14713287,есть,2.0,"коммунальные, эксплуатационные",,,,Казань,"Вахитовский район, ул. Калинина",110000.0,1375.0,False
"Свободного назначения, 51.4 м²",75000,"ул. Чехова, 29Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_51.4_m_7355811547?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,51.4,1.0,2.7 м,чистовая,,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",54.906585,52.305557,есть,,,,,,Альметьевск,ул. Чехова,75000.0,1459.1439688715955,False
Торговая площадь,15000,"ул. Ленина, 9Азнакаево",https://www.avito.ru/aznakaevo/kommercheskaya_nedvizhimost/torgovaya_ploschad_7333939351?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,16.0,1.0,3 м,офисная,,,прямая,,жилой дом,,"на улице, бесплатная, подходит для грузового транспорта",54.85891724,53.08082962,есть,,,,,,Азнакаево,ул. Ленина,15000.0,937.5,False
"Нижнекамск, проспект Вахитова, 47, 48 м²",55000,"пр-т Вахитова, 47Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/nizhnekamsk_prospekt_vahitova_47_48_m_7344995248?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,48.0,1.0,,без отделки,,центральное,субаренда,11 мес.,торговый центр,,на улице,55.651643,51.821033,,,,,,,Нижнекамск,пр-т Вахитова,55000.0,1145.8333333333333,False
"Помещение 101.5 м² под торговлю,офис, бьюти коворк",162400,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_101.5_m_pod_torgovlyuofis_byuti_kovork_7344959219?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,101.5,1.0,2.8 м,офисная,10 кВт,,прямая,11 мес.,жилой дом,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,,,,,,,Казань,ул. Гарифа Ахунова,162400.0,1600.0,False
"Казань Братьев Касимовых 22/7, 3 м²",11000,"ул. Братьев Касимовых, 22/7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kazan_bratev_kasimovyh_227_3_m_7344494435?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,3.0,1.0,3 м,чистовая,"1 кВт, можно увеличить",,прямая,11 мес.,торговый центр,первая линия,"на улице, бесплатная",55.756143,49.190487,,,,,,,Казань,ул. Братьев Касимовых,11000.0,3666.6666666666665,False
Свободного назначения,93000,"ул. Сибирский Тракт, 24/7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7304560712?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,46.5,1.0,2.5 м,офисная,220 кВт,,прямая,11 мес.,жилой дом,,нет,55.8126297,49.18147659,есть,,,,,,Казань,ул. Сибирский Тракт,93000.0,2000.0,False
"Казань, Советский район, посёлок Дербышки, улица М",16000,"Советский район, посёлок Дербышки, ул. Мира, 59Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kazan_sovetskiy_rayon_poselok_derbyshki_ulitsa_m_7344787289?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,29.0,1.0,3 м,чистовая,"5 кВт, можно увеличить",,прямая,11 мес.,торговый центр,первая линия,"на улице, бесплатная",55.859776,49.215739,,,,,,,Казань,"Советский район, посёлок Дербышки, ул. Мира",16000.0,551.7241379310345,False
Аренда помещения под производство или теплый склад,41020,"2-я Гаражная ул., 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_pomescheniya_pod_proizvodstvo_ili_teplyy_sklad_7355196406?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,со двора,есть,70.0,1.0,,чистовая,50 кВт,центральное,прямая,,административное здание,,"на улице, бесплатная",55.745078,49.107465,,,,,,,Казань,2-я Гаражная ул.,41020.0,586.0,False
"Торговая площадь, 100 м²",200000,"Автозаводский пр-т, 62Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_100_m_7303892736?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,100.0,1.0,3.2 м,чистовая,"15 кВт, можно увеличить",центральное,прямая,12 мес.,торговый центр,первая линия,на улице,55.744419,52.453609,есть,,,возможна,,,Набережные Челны,Автозаводский пр-т,200000.0,2000.0,False
Торговая площадь,40000,"пр-т Альберта Камалеева, 32Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7327362349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,77.0,1.0,,чистовая,,,субаренда,,жилой дом,,на улице,55.78450012,49.19394684,есть,,,возможна,,,Казань,пр-т Альберта Камалеева,40000.0,519.4805194805194,False
"Помещение, 36.5 м², д. Куюки, Олимпийская 10",70000,"Олимпийская ул., 8д. Куюки",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_36.5_m_d._kuyuki_olimpiyskaya_10_7327872752?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,36.5,1.0,,офисная,,,субаренда,,другой,первая линия,"на улице, бесплатная",55.722568,49.328891,есть,,эксплуатационные,,,,Куюки,"Олимпийская ул., 8д.",70000.0,1917.8082191780823,False
"Свободного назначения, 110 м²",100000,"ул. Егорова, 1с. Высокая Гора",https://www.avito.ru/vysokaya_gora/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_110_m_7341009359?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,110.0,1.0,,без отделки,,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.900436,49.326762,,,,,,,Высокая Гора,"ул. Егорова, 1с.",100000.0,909.0909090909091,False
"Торговая площадь, 20 м²",20000,"ул. Гагарина, 89Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_20_m_7338427555?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,20.0,1.0,3.8 м,офисная,15 кВт,центральное,прямая,12 мес.,жилой дом,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.836969,49.083426,,7.0,,,,,Казань,ул. Гагарина,20000.0,1000.0,False
Тёплый склад или помещение под произовдство 115 м²,700,"ул. Восстания, 100к6171Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/teplyy_sklad_ili_pomeschenie_pod_proizovdstvo_115_m_7349206534?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,115.0,1.0,8 м,чистовая,25 кВт,,прямая,,другой,,"на улице, бесплатная",55.837217,49.05265,есть,1.0,эксплуатационные,,,,Казань,ул. Восстания,80500.0,700.0,True
"Торговая площадь, 23 м²",29000,"ул. Сибирский Тракт, 21Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_23_m_7338877072?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,23.0,1.0,3 м,офисная,15 кВт,центральное,прямая,12 мес.,жилой дом,первая линия,"на улице, бесплатная, подходит для грузового транспорта",55.809768,49.18172,,7.0,,,,,Казань,ул. Сибирский Тракт,29000.0,1260.8695652173913,False
Торговое помещение на первой линии,25000,"ул. Декабристов, 164Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_na_pervoy_linii_7353586680?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,10.3,1.0,,чистовая,,,прямая,,жилой дом,,на улице,55.836863,49.081315,,,,,,,Казань,ул. Декабристов,25000.0,2427.1844660194174,False
"Помещения, 41.5 м², 52,6 м², с. Коноваловка",63500,"Зелёная ул., 22с. Коноваловка",https://www.avito.ru/menzelinsk/kommercheskaya_nedvizhimost/pomescheniya_41.5_m_526_m_s._konovalovka_7327961356?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,41.5,1.0,,офисная,,,субаренда,,другой,первая линия,"на улице, бесплатная",55.687081,52.957042,,,эксплуатационные,,,,Коноваловка,"Зелёная ул., 22с.",63500.0,1530.120481927711,False
Помещение 80 м²,80000,"ул. Ленина, 31Азнакаево",https://www.avito.ru/aznakaevo/kommercheskaya_nedvizhimost/pomeschenie_80_m_7303568454?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,80.0,1.0,3 м,офисная,15 кВт,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",54.852397,53.078342,есть,5.0,,,,,Азнакаево,ул. Ленина,80000.0,1000.0,False
Помещение 113 кв.м на Ямашева парковка,200000,"пр-т Ямашева, 103АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_113_kv.m_na_yamasheva_parkovka_7314934643?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,113.0,1.0,3.5 м,офисная,15 кВт,,прямая,,жилой дом,,на улице,55.824754,49.154537,,,,,,,Казань,пр-т Ямашева,200000.0,1769.9115044247787,False
Помещение с отдельным входом,35000,"пр-т Строителей, 32БЗеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/pomeschenie_s_otdelnym_vhodom_7328195222?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,25.0,1.0,,чистовая,,,прямая,11 мес.,жилой дом,,на улице,55.86093521,48.57442093,есть,,,,,,Зеленодольск,пр-т Строителей,35000.0,1400.0,False
Склад,100000,"Кооперативная ул., 11Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/sklad_7300616950?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,100.0,1.0,3 м,без отделки,,,прямая,12 мес.,другой,,,55.84098434,48.56177521,есть,,,,,,Зеленодольск,Кооперативная ул.,100000.0,1000.0,False
Аренда кладовки 2 м² - 4 м²,700,"ул. Адоратского, 14Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_kladovki_2_m_-_4_m_7337400896?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,4.0,1.0,2.5 м,чистовая,,,прямая,1 мес.,другой,,"в здании, бесплатная",55.832869617872745,49.14850123278808,есть,,"коммунальные, эксплуатационные",,,,Казань,ул. Адоратского,2800.0,175.0,True
"Свободного назначения, 47.3 м²",40000,"ул. Ярышлар, 6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_47.3_m_7334705356?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,47.3,1.0,3 м,чистовая,7 кВт,центральное,прямая,11 мес.,жилой дом,первая линия,"на улице, бесплатная",55.680235,49.201707,,,,,,,Казань,ул. Ярышлар,40000.0,845.6659619450318,False
Торговая площадь на первой линии,155000,"ул. Декабристов, 164Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_na_pervoy_linii_7353672429?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,105.0,1.0,,чистовая,,,прямая,,жилой дом,,на улице,55.836863,49.081315,,,,,,,Казань,ул. Декабристов,155000.0,1476.1904761904761,False
Склад,15000,"Оренбургский пр., 127Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_7337234958?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,36.0,1.0,3 м,без отделки,15 кВт,,прямая,1 мес.,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.73730042935614,49.17112061355319,есть,2.0,,возможна,,B,Казань,Оренбургский пр.,15000.0,416.6666666666667,False
Торговая площадь,100000,"Волгоградская ул., 12Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7355308533?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,57.9,1.0,2.5 м,чистовая,,,прямая,,жилой дом,,на улице,55.830293230287765,49.08588405428844,есть,,,,,,Казань,Волгоградская ул.,100000.0,1727.1157167530225,False
Прикассовая зона в ТЦ,28200,"Залесная ул., 66Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prikassovaya_zona_v_tts_7333230733?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,6.0,1.0,5 м,чистовая,,,прямая,,торговый центр,,на улице,55.850464,48.895121,,,"оплата по счётчикам, коммунальные, эксплуатационные",,,,Казань,Залесная ул.,28200.0,4700.0,False
Производственно-складское помещение с воротами,132480,"Залесная ул., 66Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/proizvodstvenno-skladskoe_pomeschenie_s_vorotami_7333557172?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,110.4,1.0,7 м,чистовая,,,прямая,,торговый центр,,на улице,55.850464,48.895121,,,"оплата по счётчикам, коммунальные, эксплуатационные",,,,Казань,Залесная ул.,132480.0,1200.0,False
"1 этаж, 1 линия, прикассовая зона, Новый ТЦ",30600,"ул. Дементьева, 72БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/1_etazh_1_liniya_prikassovaya_zona_novyy_tts_7333799821?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,10.2,1.0,6 м,чистовая,,,прямая,,торговый центр,,на улице,55.86253,49.109208,,,,,,,Казань,ул. Дементьева,30600.0,3000.0,False
"Свободного назначения, 40 м²",24200,"пр-т Мира, 24АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_40_m_7343772562?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,,40.0,1.0,3.1 м,чистовая,,центральное,прямая,3 мес.,бизнес-центр,первая линия,"на улице, бесплатная",55.730248,52.395586,,,,возможна,,,Набережные Челны,пр-т Мира,24200.0,605.0,False
"Склад, 150 м²",150000,"посёлок Элеваторная Гора, ул. Добролюбова, 27Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/sklad_150_m_7349893193?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,150.0,1.0,5 м,чистовая,220 кВт,автономное,прямая,6 мес.,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.710616,52.334447,,4.0,,,,A,Набережные Челны,"посёлок Элеваторная Гора, ул. Добролюбова",150000.0,1000.0,False
"Свободного назначения, 138.9 м²",250000,"ул. Рауиса Гареева, 108Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_138.9_m_7350532356?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKclZOUk1YSWt5b0R4d09FIjt98NnjjD8AAAA,1 неделю назад,с улицы,есть,138.9,1.0,5 м,офисная,28 кВт,,прямая,3 мес.,другой,,"на улице, бесплатная, подходит для грузового транспорта",55.72459738139186,49.17303382901555,есть,,коммунальные,,,,Казань,ул. Рауиса Гареева,250000.0,1799.8560115190785,False
Помещение 106кв.м на ул.Рахлина 5,160000,"ул. Натана Рахлина, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_106kv.m_na_ul.rahlina_5_7314048108?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhSnd5Y1g5WXZ3NVhubzg4Ijt9s8cfBz8AAAA,1 неделю назад,с улицы,,106.0,1.0,,офисная,,,прямая,,жилой дом,,нет,55.801035,49.244135,,,,,,,Казань,ул. Натана Рахлина,160000.0,1509.433962264151,False
"Свободного назначения, 148.3 м²",47693,"ул. Лукина, 37Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_148.3_m_7333226245?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhSnd5Y1g5WXZ3NVhubzg4Ijt9s8cfBz8AAAA,1 неделю назад,с улицы,,148.3,1.0,,чистовая,,центральное,прямая,60 мес.,жилой дом,первая линия,на улице,55.866349,49.092751,,,,,,,Казань,ул. Лукина,47693.0,321.59811193526633,False
"Кафе, офис, фитнес, производство, мастерская",150000,"ул. Побежимова, 28Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kafe_ofis_fitnes_proizvodstvo_masterskaya_7328518457?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhSnd5Y1g5WXZ3NVhubzg4Ijt9s8cfBz8AAAA,1 неделю назад,с улицы,есть,136.0,1.0,3 м,без отделки,70 кВт,,прямая,12 мес.,другой,,"на улице, бесплатная",55.859003,49.086382,есть,,,возможна,,,Казань,ул. Побежимова,150000.0,1102.9411764705883,False
Аренда контейнера под склад,6000,"ЖК Лесной Городок, Берёзовая ул., 2АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/arenda_konteynera_pod_sklad_7314236462?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhSnd5Y1g5WXZ3NVhubzg4Ijt9s8cfBz8AAAA,1 неделю назад,с улицы,есть,15.0,1.0,2.6 м,без отделки,0 кВт,нет,прямая,,другой,,нет,55.709059,49.183624,,,"коммунальные, эксплуатационные",,,,Казань,"ЖК Лесной Городок, Берёзовая ул.",6000.0,400.0,False
Первая линия первый этаж 50м солнечный город,120000,"ул. Баки Урманче, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pervaya_liniya_pervyy_etazh_50m_solnechnyy_gorod_7303940980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhSnd5Y1g5WXZ3NVhubzg4Ijt9s8cfBz8AAAA,1 неделю назад,с улицы,есть,50.0,1.0,3.5 м,офисная,13 кВт,,прямая,11 мес.,жилой дом,,"на улице, бесплатная",55.73160692527843,49.17609955536872,есть,30.0,эксплуатационные,,,,Казань,ул. Баки Урманче,120000.0,2400.0,False
