title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип сделки,Арендаторы,Тип здания,Парковка,lat,lon,Высота потолков,Мощность электросети,Планировка,Готовность,Класс здания,Отдельный вход,Отопление,Удалённость от дороги,Количество парковочных мест,city,street,total_price,price_per_meter,is_per_meter_price
Продается склад с пищевым цехом,55000000,Полиграфическая ул.Набережные Челны,https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodaetsya_sklad_s_pischevym_tsehom_7321596421?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,730.0,1.0,чистовая,продажа,,другой,на улице,55.645939,52.330018,,,,,,,,,,Набережные Челны,Полиграфическая ул.,55000000.0,75342.46575342465,False
"Торговая площадь, 864 м²",16500000,"Казанская ул., 14ВЗаинск",https://www.avito.ru/zainsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_864_m_7313949812?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,864.0,1.0,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.287922,52.005879,2.7 м,"15 кВт, можно увеличить",,в эксплуатации,,есть,центральное,вторая линия и дальше,10.0,Заинск,Казанская ул.,16500000.0,19097.222222222223,False
Купить Спортивно-оздоровительный комплекс,144376000,"Кировский район, Шоссейная ул., 57Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/kupit_sportivno-ozdorovitelnyy_kompleks_7321126688?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,858.6,1.0,без отделки,продажа,,другой,на улице,55.807749,49.089615,,,,,,,,,,Казань,"Кировский район, Шоссейная ул.",144376000.0,168152.80689494524,False
"Здание, 2516.2 м²",136000000,"ул. Ризы Фахретдина, 41Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/zdanie_2516.2_m_7305895484?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,2516.2,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",54.901321,52.319355,7.2 м,150 кВт,,в эксплуатации,,есть,автономное,,30.0,Альметьевск,ул. Ризы Фахретдина,136000000.0,54049.75757094031,False
"Свободного назначения, 63.18 м²",12636000,"ул. Раскольникова, 18Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_63.18_m_7338401540?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,63.18,1.0,без отделки,продажа,,жилой дом,"на улице, бесплатная",55.72492,52.359636,,,,строится,,есть,центральное,,,Набережные Челны,ул. Раскольникова,12636000.0,200000.0,False
Продам помещение с киберспортивным клубом с НДС,22700000,"ул. Аметьевская Магистраль, 18к5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_pomeschenie_s_kibersportivnym_klubom_s_nds_7321493126?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,181.1,1.0,чистовая,продажа,,жилой дом,на улице,55.767524,49.174381,,,,,,,,,,Казань,ул. Аметьевская Магистраль,22700000.0,125345.11319712867,False
Продам продуктовый магазин,5500000,"Центральная ул., 24с. Ильбухтино",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodam_produktovyy_magazin_7321845297?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,38.0,1.0,чистовая,продажа,,другой,нет,55.786313,52.57065,,,,,,,,,,Ильбухтино,"Центральная ул., 24с.",5500000.0,144736.84210526315,False
"Здание, 5491.5 м²",190000000,"Геофизическая ул., 1ВАльметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/zdanie_5491.5_m_7305447631?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,5491.5,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",54.90028,52.370829,6.7 м,100 кВт,,в эксплуатации,,есть,автономное,,90.0,Альметьевск,Геофизическая ул.,190000000.0,34598.92561230993,False
"Здание, 10096.1 м²",200000000,"ул. Владимира Ленина, 145Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/zdanie_10096.1_m_7305456642?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,10096.1,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",54.520781,52.84239,6.7 м,640 кВт,,в эксплуатации,,есть,центральное,,450.0,Бугульма,ул. Владимира Ленина,200000000.0,19809.629460880933,False
"Нежилое помещение, 72.4 м²",10200000,"ул. Бакы Урманче, 7Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/nezhiloe_pomeschenie_72.4_m_7318916941?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,,72.4,1.0,офисная,продажа,,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.86029340734304,48.56214418518066,2.5 м,"15 кВт, можно увеличить",кабинетная,в эксплуатации,,,,,5.0,Зеленодольск,ул. Бакы Урманче,10200000.0,140883.97790055248,False
"Склад, 532.2 м²",12700000,"ул. Валиева, 1БЧистополь",https://www.avito.ru/chistopol/kommercheskaya_nedvizhimost/sklad_532.2_m_7300267760?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,532.2,1.0,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.344741,50.651364,4 м,,,в эксплуатации,,есть,центральное,,,Чистополь,ул. Валиева,12700000.0,23863.209319804584,False
Свободного назначения,1950000,"Заводская ул., 25Нурлат",https://www.avito.ru/nurlat/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7294506554?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,2 недели назад,с улицы,86.8,1.0,офисная,продажа,,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",54.42174911,50.83091736,3.5 м,220 кВт,,в эксплуатации,,есть,автономное,первая линия,10.0,Нурлат,Заводская ул.,1950000.0,22465.437788018433,False
Продажа габ площадью 120 м2 с вб,13750000,"Московский пр-т, 163Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodazha_gab_ploschadyu_120_m2_s_vb_7307521482?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,120.0,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.74545160890354,52.43209366917989,2.7 м,"15 кВт, можно увеличить",,,,есть,центральное,первая линия,,Набережные Челны,Московский пр-т,13750000.0,114583.33333333333,False
Продажа нового склада 1056 кв. м,75000000,"Полевая ул., 5с. Старое Шигалеево",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodazha_novogo_sklada_1056_kv._m_7301275758?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,1056.0,1.0,чистовая,продажа,помещение сдано,другой,"на улице, подходит для грузового транспорта",55.82341385,49.49621964,8 м,150 кВт,,в эксплуатации,B,есть,автономное,,40.0,Старое Шигалеево,"Полевая ул., 5с.",75000000.0,71022.72727272728,False
"Продам торговое помещение, 80 м²",8500000,"Новая ул., 1Вд. Орёл",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_torgovoe_pomeschenie_80_m_7306010734?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,80.0,1.0,чистовая,продажа,,административное здание,на улице,55.566435,49.066196,,,,,,,,,,Орёл,"Новая ул., 1Вд.",8500000.0,106250.0,False
"Свободного назначения, 16.2 м²",2985000,"Маршрутная ул., 12АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_16.2_m_7321929084?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,16.2,1.0,офисная,продажа,,бизнес-центр,"на улице, бесплатная",55.822797,49.034001,2.8 м,,,в эксплуатации,,есть,центральное,первая линия,,Казань,Маршрутная ул.,2985000.0,184259.25925925927,False
"Габ Пятерочка, ул. Пограничная",70000000,"Пограничная ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gab_pyaterochka_ul._pogranichnaya_7314771765?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,со двора,413.0,1.0,офисная,продажа,помещение сдано,другой,нет,55.847134,48.893271,,,,,,,,,,Казань,Пограничная ул.,70000000.0,169491.5254237288,False
"Здание, 948.5 м²",60000000,"посёлок ЗЯБ, Садовый пер., 1Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/zdanie_948.5_m_7305457493?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,948.5,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.697803,52.353114,3.4 м,99 кВт,,в эксплуатации,,есть,центральное,,30.0,Набережные Челны,"посёлок ЗЯБ, Садовый пер.",60000000.0,63257.77543489721,False
Производственно-складское помещение,115000000,"ул. Ленина, 29Апгт. Васильево",https://www.avito.ru/vasilevo/kommercheskaya_nedvizhimost/proizvodstvenno-skladskoe_pomeschenie_7301976959?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,со двора,1300.0,1.0,чистовая,продажа,,другой,на улице,55.829021,48.669482,9 м,250 кВт,,,,,,,,Васильево,"ул. Ленина, 29Апгт.",115000000.0,88461.53846153847,False
"1 этаж, 1 линия, продажа",10960000,"ул. Петра Гаврилова, 18д. Царёво",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/1_etazh_1_liniya_prodazha_7301441916?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,54.8,1.0,чистовая,продажа,,жилой дом,на улице,55.80573,49.442276,2.7 м,,,,,,,,,Царёво,"ул. Петра Гаврилова, 18д.",10960000.0,200000.0,False
"Свободного назначения, 897 м²",189000000,"пр-т Чулман, 2Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_897_m_7302000413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,897.0,1.0,без отделки,продажа,,торговый центр,на улице,55.72026010789517,52.36139694973752,4 м,146 кВт,,в эксплуатации,,,автономное,первая линия,25.0,Набережные Челны,пр-т Чулман,189000000.0,210702.34113712376,False
Свободного назначения,40000000,"Советский район, Спортивная ул., 3Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7316335582?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,188.5,1.0,чистовая,продажа,,жилой дом,"на улице, бесплатная",55.788234580567575,49.17355399103437,3.1 м,"15 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,20.0,Казань,"Советский район, Спортивная ул.",40000000.0,212201.59151193633,False
"Склад, 138.9 м²",7800000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_138.9_m_7317444923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,138.9,1.0,чистовая,продажа,,другой,"на улице, бесплатная",55.725032,49.113942,,"50 кВт, можно увеличить",,в эксплуатации,B,есть,нет,,,Казань,Южно-Промышленная ул.,7800000.0,56155.50755939525,False
"Свободного назначения, 250.5 м²",6500000,"пр-т Ленина, 18Лениногорск",https://www.avito.ru/leninogorsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_250.5_m_7299543663?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,250.5,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",54.602429,52.446853,,40 кВт,,в эксплуатации,,есть,автономное,первая линия,,Лениногорск,пр-т Ленина,6500000.0,25948.103792415168,False
Торговая площадь,6950000,"Авиастроительный район, жилой массив Кадышево, ул. Татарстан, 6БКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7316223148?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,68.0,1.0,чистовая,продажа,,жилой дом,на улице,55.896376305183466,49.126943331571866,2.5 м,220 кВт,,проект,,,центральное,первая линия,,Казань,"Авиастроительный район, жилой массив Кадышево, ул. Татарстан",6950000.0,102205.88235294117,False
"Свободного назначения, 343.3 м²",12000000,"ул. Королёва, 28Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_343.3_m_7319844401?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,343.3,1.0,без отделки,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.866718,48.545254,8 м,380 кВт,,в эксплуатации,,есть,нет,первая линия,,Зеленодольск,ул. Королёва,12000000.0,34954.84998543548,False
"Помещение с арендатором 1 этаж, витраж, свой вход",9500000,"ул. Фатыха Амирхана, 30Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_s_arendatorom_1_etazh_vitrazh_svoy_vhod_7316551482?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnaGNta1B2U3ZQZXlLRHJCIjt9P3UkFD8AAAA,3 недели назад,с улицы,37.2,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.840437,49.135259,3.5 м,25 кВт,,в эксплуатации,,есть,центральное,первая линия,20.0,Казань,ул. Фатыха Амирхана,9500000.0,255376.34408602148,False
"Продам складское помещение, 1653.6 м²",45000000,"Южно-Промышленная ул., 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_1653.6_m_7302188746?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,1653.6,1.0,без отделки,продажа,помещение сдано,другой,на улице,55.725032,49.113942,4 м,50 кВт,,,,есть,,,,Казань,Южно-Промышленная ул.,45000000.0,27213.3526850508,False
Торговая площадь,15550000,"ул. Хайдара Бигичева, 22Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7281591681?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,74.3,1.0,чистовая,продажа,,жилой дом,на улице,55.7880249,49.2251091,2.8 м,15 кВт,,в эксплуатации,,,центральное,первая линия,,Казань,ул. Хайдара Бигичева,15550000.0,209286.67563930014,False
Здание на Московской,2350000000,"Московская ул., 52Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_na_moskovskoy_7308863284?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,17408.0,1.0,без отделки,продажа,,торговый центр,"на улице, бесплатная",55.786197,49.110519,,,,в эксплуатации,,,,,250.0,Казань,Московская ул.,2350000000.0,134995.4044117647,False
Торговая площадь,2000000,"ул. Салиха Сайдашева, 23Бавлы",https://www.avito.ru/bavly/kommercheskaya_nedvizhimost/torgovaya_ploschad_7281987860?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,48.0,1.0,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",54.395017,53.247872,2.7 м,220 кВт,,в эксплуатации,,,нет,первая линия,,Бавлы,ул. Салиха Сайдашева,2000000.0,41666.666666666664,False
Производственно-Складское здание М12 с кран-балкой,115000000,"Молодёжная ул., 3с. Кирби",https://www.avito.ru/stolbische/kommercheskaya_nedvizhimost/proizvodstvenno-skladskoe_zdanie_m12_s_kran-balkoy_7302399949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,1470.0,1.0,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.56476593,49.32189178,9 м,250 кВт,,строится,,есть,автономное,,20.0,Кирби,"Молодёжная ул., 3с.",115000000.0,78231.2925170068,False
Продажа бизнес-комплекса у ж/д станции «Дербышки»,150000000,"Советский район, посёлок Дербышки, ул. Энтузиастов, 6Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodazha_biznes-kompleksa_u_zhd_stantsii_derbyshki_7300007684?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,1621.0,,чистовая,продажа,,бизнес-центр,на улице,55.872804,49.227426,3.7 м,130 кВт,,в эксплуатации,,есть,центральное,,,Казань,"Советский район, посёлок Дербышки, ул. Энтузиастов",150000000.0,92535.47193090685,False
"Свободного назначения, 108.8 м²",16500000,"ул. Егорова, 3с. Высокая Гора",https://www.avito.ru/vysokaya_gora/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_108.8_m_7294872497?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,108.8,1.0,без отделки,продажа,,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.899813,49.32756,3.5 м,,,в эксплуатации,,,автономное,первая линия,,Высокая Гора,"ул. Егорова, 3с.",16500000.0,151654.41176470587,False
"Продам торговое помещение, 614 м²",50000000,"пр-т Мира, 34Елабуга",https://www.avito.ru/elabuga/kommercheskaya_nedvizhimost/prodam_torgovoe_pomeschenie_614_m_7308989187?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,614.0,1.0,без отделки,продажа,,жилой дом,нет,55.760054,52.011377,,,,,,,,,,Елабуга,пр-т Мира,50000000.0,81433.22475570033,False
Отдельно стоящее здание 360м2 с арендатором,30000000,"Революционная ул., 14Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/otdelno_stoyaschee_zdanie_360m2_s_arendatorom_7322008099?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,360.0,1.0,чистовая,продажа,,административное здание,на улице,55.81778,48.896424,,,,,,,,,,Казань,Революционная ул.,30000000.0,83333.33333333333,False
"Свободного назначения, 250 м²",14900000,"Школьная ул., 64пгт. Богатые Сабы",https://www.avito.ru/bogatye_saby/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_250_m_7312048095?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,250.0,1.0,без отделки,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",56.01632903832584,50.446107999999946,4 м,"30 кВт, можно увеличить",,в эксплуатации,,есть,автономное,первая линия,3.0,Богатые Сабы,"Школьная ул., 64пгт.",14900000.0,59600.0,False
"Торговая площадь, 407.5 м²",15000000,"ул. Губкина, 20пгт. Актюбинский",https://www.avito.ru/aktyubinskiy/kommercheskaya_nedvizhimost/torgovaya_ploschad_407.5_m_7318059574?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,407.5,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",54.812131,52.803718,3 м,50 кВт,,в эксплуатации,,есть,центральное,первая линия,10.0,Актюбинский,"ул. Губкина, 20пгт.",15000000.0,36809.815950920245,False
Продам Базу в отличной локации,59000000,"Чистопольская ул., 35Нижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/prodam_bazu_v_otlichnoy_lokatsii_7312212914?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,1000.0,,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.596427,51.814439,3 м,100 кВт,,в эксплуатации,,есть,центральное,,50.0,Нижнекамск,Чистопольская ул.,59000000.0,59000.0,False
"Продам складское помещение, 200 м²",14000000,"территория ГСК Мукомол, 55Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_200_m_7315227554?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,200.0,1.0,без отделки,продажа,,другой,нет,55.847674,49.049173,,,,,,,,,,Казань,территория ГСК Мукомол,14000000.0,70000.0,False
Готовый арендный бизнес со сроком окупаемости 7 ле,14500000,"пр-т Дружбы Народов, 1Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_so_srokom_okupaemosti_7_le_7301041401?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,130.9,1.0,чистовая,продажа,помещение сдано,жилой дом,на улице,55.720753,52.40342,3 м,"10 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,,Набережные Челны,пр-т Дружбы Народов,14500000.0,110771.58135981664,False
