title,price,address,item_url,date,Вход,Общая площадь,Этаж,Отделка,Тип сделки,Арендаторы,Тип здания,Парковка,lat,lon,Высота потолков,Мощность электросети,Планировка,Готовность,Класс здания,Отдельный вход,Отопление,Удалённость от дороги,Количество парковочных мест
Свободного назначения,25850000,"ул. Соловецких Юнг, 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7299456850?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,85 м²,1.0,чистовая,продажа,,жилой дом,на улице,55.82435989,49.07933807,,,,в эксплуатации,,,центральное,первая линия,
Торговая площадь,12700000,"ул. Шамиля Усманова, 17АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/torgovaya_ploschad_7297750537?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,67.1 м²,1.0,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная",55.72860564164835,52.37995398891644,,,,в эксплуатации,,есть,центральное,первая линия,
"Готовый арендный бизнес, федеральный арендатор",41950000,"ул. Виктора Сажинова, 7/11Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gotovyy_arendnyy_biznes_federalnyy_arendator_7321494170?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,317.5 м²,1.0,чистовая,продажа,,жилой дом,нет,55.866364,48.874433,,,,,,,,,
Свободного назначения 170 м2 Бумажников,18000000,"посёлок ЗЯБ, б-р Бумажников, 1АНабережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_170_m2_bumazhnikov_7314490002?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,170 м²,1.0,офисная,продажа,помещение сдано,другой,на улице,55.70493,52.3323,,,,,,,,,
"Торговая площадь, Пограничная ул., 1",35000000,"Пограничная ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_pogranichnaya_ul._1_7314348681?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,со двора,413 м²,1.0,офисная,продажа,помещение сдано,другой,нет,55.847134,48.893271,,,,,,,,,
"Арендный бизнес, 120000+ку, Фоменко",15500000,"пр-т Фоменко, 74Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/arendnyy_biznes_120000ku_fomenko_7314495700?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,114 м²,1.0,офисная,продажа,помещение сдано,жилой дом,нет,55.681174,52.330647,,,,,,,,,
"Готовый арендный биснес, габ. 336,3 м2",33293700,"посёлок ГЭС, 2-й комплекс, 1Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/gotovyy_arendnyy_bisnes_gab._3363_m2_7307643226?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,336.3 м²,1.0,чистовая,продажа,помещение сдано,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.68443873933855,52.29581835541782,3 м,"35 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,45.0
Готовый бизнес,15000000,"Зелёная ул., 19Апос. железнодорожной станции Калейкино",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/gotovyy_biznes_7296523657?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,282.4 м²,,чистовая,продажа,помещение сдано,другой,"на улице, подходит для грузового транспорта",54.91596593277412,52.1337959937311,3 м,380 кВт,,в эксплуатации,,есть,автономное,,
Свободного назначения,7430000,"ул. Маяковского, 67Альметьевск",https://www.avito.ru/almetevsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7301052431?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,42 м²,1.0,чистовая,продажа,,жилой дом,"на улице, бесплатная",54.90011375225394,52.3104596337338,,220 кВт,,в эксплуатации,,,центральное,первая линия,5.0
Свободного назначения,140000,"ул. Тази Гиззата, 28Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7306998199?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,455 м²,1.0,без отделки,продажа,,административное здание,"на улице, бесплатная, подходит для грузового транспорта",55.78404328444248,49.10033800257294,3.2 м,"75 кВт, можно увеличить",,в эксплуатации,,,,,10.0
Свободного назначения,3500000,"ул. Розы Люксембург, 62Буинск",https://www.avito.ru/buinsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7320859981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,61 м²,1.0,офисная,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",54.967688,48.290959,,,,в эксплуатации,,,,первая линия,
Продажа комплекса на 1 линии,210856000,"Кировский район, Шоссейная ул., 57Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodazha_kompleksa_na_1_linii_7321195869?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,1188.8 м²,1.0,без отделки,продажа,,другой,на улице,55.807749,49.089615,,,,,,,,,
Продажа помещения,15000000,"ул. Симонова, 14/41Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodazha_pomescheniya_7321945616?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJUVllIRnVqNEYzRllmU1dkIjt9q0jOrT8AAAA,3 недели назад,с улицы,56 м²,1.0,чистовая,продажа,,жилой дом,на улице,55.866293,49.086417,,,,,,,,,
"Склад, 308.2 м²",14300000,"Шоссейная ул., 13д. Яшь Кеч",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_308.2_m_7299056432?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 19:35,с улицы,308.2 м²,1.0,чистовая,продажа,,другой,на улице,55.95539093,49.16049194,5 м,,,в эксплуатации,A,,автономное,,
"Свободного назначения, 19 м²",6350000,"Чистопольская ул., 61ДКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_19_m_7289383026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 17:31,со двора,19 м²,1.0,офисная,продажа,,жилой дом,"на улице, бесплатная",55.819975,49.134927,3 м,,,в эксплуатации,,есть,центральное,первая линия,
"Помещение 101.4 м² под офис, торговлю, склад",25350000,"ул. Гарифа Ахунова, 22АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_101.4_m_pod_ofis_torgovlyu_sklad_7306708851?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 17:29,с улицы,101.4 м²,1.0,офисная,продажа,,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.729133,49.173069,2.8 м,7 кВт,,в эксплуатации,,есть,центральное,первая линия,
Продам помещение свободного назначения,9500000,"Хвойная ул., 1Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_pomeschenie_svobodnogo_naznacheniya_7305034901?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 16:51,с улицы,157 м²,1.0,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.9095192,49.2283783,3 м,15 кВт,,в эксплуатации,,есть,автономное,первая линия,
"ЖК станция спортивная коммерция 78,52кв.м",280000,"Приволжский район, жилой комплекс Станция Спортивная, 2.2Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zhk_stantsiya_sportivnaya_kommertsiya_7852kv.m_7285551290?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 16:03,с улицы,78.52 м²,1.0,без отделки,продажа,,жилой дом,"на улице, бесплатная",55.67917140852924,49.20290637082698,3 м,,,в эксплуатации,,есть,центральное,первая линия,
Помещение в новом ЖК,300000,"ул. Родины, 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_novom_zhk_7288463180?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:33,с улицы,159.69 м²,1.0,без отделки,продажа,,жилой дом,в здании,55.764379,49.200189,3.5 м,,,,,,,,
Помещение в ЖК Наследие,71115000,"ул. Родины, 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_v_zhk_nasledie_7288547890?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:33,с улицы,237.05 м²,1.0,без отделки,продажа,,жилой дом,в здании,55.764379,49.200189,3.5 м,,,,,,,,
Помещение на Родине,510000000,"ул. Родины, 20Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/pomeschenie_na_rodine_7288791641?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:33,с улицы,1700 м²,1.0,без отделки,продажа,,жилой дом,в здании,55.764379,49.200189,3.5 м,,,,,,,,
"Торговая площадь, 67.8 м²",450000,"ул. Фрунзе, 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_67.8_m_7271372568?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 14:01,с улицы,67.8 м²,1.0,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная",55.824071,49.046442,3 м,,,в эксплуатации,,,центральное,первая линия,20.0
Свободного назначения,5000000,"Кооперативная ул., 2с. Большие Яки",https://www.avito.ru/osinovo/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7289544214?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 09:52,с улицы,200 м²,1.0,чистовая,продажа,,торговый центр,"на улице, бесплатная",56.02770405462853,48.791799175838406,3.5 м,380 кВт,,в эксплуатации,,,автономное,первая линия,20.0
Торговая площадь,5120000,"ул. Газинура Гафиатуллина, 27Бугульма",https://www.avito.ru/bugulma/kommercheskaya_nedvizhimost/torgovaya_ploschad_7305968084?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,10 апреля 06:35,с улицы,57 м²,1.0,офисная,продажа,,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",54.53526065405726,52.79129579202137,3 м,"15 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,55.0
Помещение магазин,100,"ул. Ленина, 6пгт. Джалиль",https://www.avito.ru/dzhalil/kommercheskaya_nedvizhimost/pomeschenie_magazin_7323158013?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 21:54,с улицы,91 м²,1.0,офисная,продажа,,жилой дом,на улице,55.02395205572833,52.73924992779241,,,,в эксплуатации,,есть,,,
Габ в центре Казани: ТЦ с арендаторами от 11 млн,254000000,"Московская ул., 72Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/gab_v_tsentre_kazani_tts_s_arendatorami_ot_11_mln_7281654000?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:44,с улицы,1578.7 м²,,чистовая,продажа,помещение сдано,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",55.783423,49.114211,,,,в эксплуатации,,есть,,,
Свободного назначения,5800000,"ул. Свердлова, 151Тетюши",https://www.avito.ru/tetyushi/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7305820665?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:40,с улицы,147.4 м²,1.0,офисная,продажа,,другой,"на улице, бесплатная",54.92212879211616,48.838363086185154,3 м,15 кВт,,в эксплуатации,,есть,автономное,первая линия,10.0
Свободного назначения,45000000,"Центрально-Мариупольская ул., 59Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7305418695?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:29,с улицы,369 м²,1.0,офисная,продажа,помещение сдано,другой,"на улице, бесплатная",55.87118224047184,49.068568340420285,3 м,65 кВт,,в эксплуатации,,есть,автономное,первая линия,10.0
Здание,30000000,"ул. Новоселья, 11Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_7305105941?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 18:28,с улицы,187.4 м²,1.0,офисная,продажа,помещение сдано,другой,"на улице, бесплатная",55.78149796,49.241745,3.5 м,74 кВт,,в эксплуатации,,есть,автономное,вторая линия и дальше,10.0
Продаётся габ на первой линии,145000000,"ул. Ефимова, 1Бпос. Сосновый Бор",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodaetsya_gab_na_pervoy_linii_7289544866?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 16:03,с улицы,775.6 м²,1.0,чистовая,продажа,,торговый центр,на улице,55.647615,52.616725,,,,,,,,,
"Здание, 70 м²",2699000,"Школьная ул., 6с. Никольское",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/zdanie_70_m_7296997547?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 15:37,с улицы,70 м²,,чистовая,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.536706,49.194063,2.6 м,,,в эксплуатации,,есть,центральное,,50.0
Продаю 1080 м² с земельным участком,83000000,"Арская ул., 1садоводческое некоммерческое товарищество Городок",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodayu_1080_m_s_zemelnym_uchastkom_7289692837?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 15:04,с улицы,1080 м²,1.0,чистовая,продажа,,другой,на улице,55.823626,49.426079,,,,,,,,,
"Без отделки, 104 м²",15600000,"Тэцевская ул., 4ДКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/bez_otdelki_104_m_7318893464?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 10:49,с улицы,104 м²,1.0,без отделки,продажа,,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.851,49.062513,4.2 м,"8 кВт, можно увеличить",,в эксплуатации,,есть,центральное,вторая линия и дальше,5.0
Торговая площадь,25650000,"ул. Баки Урманче, 7Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_7281446106?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,9 апреля 10:30,с улицы,135 м²,1.0,чистовая,продажа,,жилой дом,на улице,55.73111343,49.17533112,2.8 м,15 кВт,,в эксплуатации,,,,первая линия,
Габ с магазином «Монетка»,31320000,"ул. Мурадьяна, 28АНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/gab_s_magazinom_monetka_7291998264?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 19:24,с улицы,258.1 м²,1.0,чистовая,продажа,помещение сдано,другой,"на улице, бесплатная",55.663481,51.820458,3 м,44 кВт,,в эксплуатации,,есть,центральное,вторая линия и дальше,5.0
"Свободного назначения, 73.2 м²",14000000,"ул. Белинского, 17Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_73.2_m_7305562124?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 19:04,с улицы,73.2 м²,1.0,офисная,продажа,помещение сдано,жилой дом,"на улице, бесплатная",55.85289860519337,49.07284435891848,3.4 м,15 кВт,,в эксплуатации,,есть,центральное,первая линия,10.0
"Продам помещение свободного назначения, 510 м²",156862,"Магистральная ул., 34с. Каймары",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/prodam_pomeschenie_svobodnogo_naznacheniya_510_m_7261444566?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 11:15,с улицы,510 м²,1.0,без отделки,продажа,,другой,на улице,55.966181,49.193092,3 м,,,в эксплуатации,,,,,
Продается производственная база/склад,22000000,"Автосборочный пр., 37Набережные Челны",https://www.avito.ru/naberezhnye_chelny/kommercheskaya_nedvizhimost/prodaetsya_proizvodstvennaya_bazasklad_7275399098?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,8 апреля 08:40,с улицы,175 м²,1.0,чистовая,продажа,,другой,"на улице, бесплатная",55.71524042371431,52.47354979177455,4.6 м,15 кВт,,в эксплуатации,,,автономное,вторая линия и дальше,5.0
"Торговая площадь, 50.8 м²",8500000,"Петербургская ул., 9Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_50.8_m_7285073227?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,7 апреля 15:59,с улицы,50.8 м²,1.0,чистовая,продажа,,торговый центр,"в здании, бесплатная, подходит для грузового транспорта",55.785321,49.126554,,,,в эксплуатации,,,центральное,первая линия,
Торговая площадь,7300000,"ул. Космонавтов, 9Зеленодольск",https://www.avito.ru/zelenodolsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7264495288?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,7 апреля 15:30,с улицы,71 м²,1.0,чистовая,продажа,,жилой дом,на улице,55.84942182578509,48.50424316394755,3.5 м,,,в эксплуатации,,есть,центральное,первая линия,
Склад производство Шигалеево,65000000,"Полевая ул., 2с. Старое Шигалеево",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/sklad_proizvodstvo_shigaleevo_7288360930?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,7 апреля 10:03,с улицы,1056 м²,1.0,чистовая,продажа,помещение сдано,другой,на улице,55.822706,49.496669,6 м,150 кВт,,,B,,,,
"Продам складское помещение, 14362 м²",47990000,с. Шемордан,https://www.avito.ru/shemordan/kommercheskaya_nedvizhimost/prodam_skladskoe_pomeschenie_14362_m_7289959110?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,6 апреля 16:08,с улицы,14362 м²,1.0,без отделки,продажа,,другой,нет,56.189199,50.395955,,,,в эксплуатации,,,,,
Производство,52000000,"территория Промзона, 78БНижнекамск",https://www.avito.ru/nizhnekamsk/kommercheskaya_nedvizhimost/proizvodstvo_7263683936?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,6 апреля 09:42,с улицы,3550 м²,1.0,,продажа,,другой,,55.60342324161992,51.90502833007736,,"100 кВт, можно увеличить",,в эксплуатации,,есть,,,
"Свободного назначения, 62.6 м²",11990000,"Детский пр., 5Казань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_62.6_m_7285005942?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,5 апреля 19:09,с улицы,62.6 м²,1.0,офисная,продажа,,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",55.679612000408646,49.20058835881888,4 м,"7 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,
Свободного назначения,3300000,"ул. Гагарина, 33Лениногорск",https://www.avito.ru/leninogorsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7262219923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,5 апреля 13:44,с улицы,80 м²,1.0,офисная,продажа,помещение сдано,жилой дом,на улице,54.59769083282488,52.45430763382217,2.5 м,"5 кВт, можно увеличить",,в эксплуатации,,есть,центральное,первая линия,
Идеальный вариант для пвз,6000000,"ул. Космонавтов, 29АКазань",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/idealnyy_variant_dlya_pvz_7262377576?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,4 апреля 23:46,со двора,42 м²,1.0,офисная,продажа,,жилой дом,на улице,55.801384,49.192221,,5 кВт,,,,есть,,,
Торговая площадь (нежилое здание) 60 м²,900000,"Зелёная ул., 1Апос. Октябрьский",https://www.avito.ru/kazan/kommercheskaya_nedvizhimost/torgovaya_ploschad_nezhiloe_zdanie_60_m_7261537739?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWE1kRk16aWdNNTFyWWdJIjt9mCPMLT8AAAA,4 апреля 15:56,с улицы,60 м²,1.0,без отделки,продажа,,другой,"на улице, бесплатная, подходит для грузового транспорта",55.83361697074068,48.78057598508542,3 м,"15 кВт, можно увеличить",,в эксплуатации,,есть,нет,первая линия,15.0
